Biller,Amount,Due Date,Status
Quickstop,183.00,2025-06-02,Settled/Done
Baby sitting,1000.00,2025-06-15,Due
Netflix,150.00,2025-06-15,Due
Mama Rechel,2000.00,2025-06-15,Due
Other,1430.00,2025-06-15,Due
Baby sitting,11111.00,2025-06-15,Due
Motorcycle,750.00,2025-06-30,Due
SLoan,2181.64,2025-07-02,Due
PLDT,1599.00,2025-07-03,Due
PLDT,1399.00,2025-07-03,Due
Seabank,1177.00,2025-07-04,Due
Seabank,784.67,2025-07-04,Due
GCash Loan,734.99,2025-07-04,Due
Spaylater,8971.16,2025-07-05,Due
VECO,1000.00,2025-07-16,Due
